ARREST_PRECINCT,new_arrest_date,count
76,2010 01,176
5,2020 08,137
33,2019 04,202
109,2019 01,340
90,2019 06,210
88,2020 04,57
121,2020 02,208
60,2018 11,272
101,2008 06,415
110,2018 07,380
114,2006 08,476
107,2006 02,290
62,2018 05,141
44,2018 03,547
23,2017 10,411
48,2016 09,478
60,2016 03,415
44,2015 06,764
23,2015 03,389
32,2015 02,418
44,2014 10,1050
88,2014 08,236
78,2014 04,240
41,2013 12,537
9,2013 06,341
75,2013 06,1191
121,2013 07,369
10,2013 04,321
111,2013 03,155
100,2013 02,109
103,2013 02,744
67,2012 12,468
63,2012 07,240
66,2012 05,172
28,2012 01,582
48,2010 12,472
43,2010 06,899
34,2010 04,639
78,2010 04,167
122,2010 03,354
112,2009 11,237
32,2009 05,636
69,2008 10,231
7,2007 08,350
103,2007 08,548
23,2007 01,607
69,2020 05,100
76,2019 11,87
109,2017 07,320
76,2017 02,209
71,2015 02,369
43,2011 02,1141
103,2010 10,884
67,2010 02,539
77,2008 06,627
72,2007 05,377
43,2020 09,258
100,2019 07,140
90,2020 01,164
76,2021 11,48
9,2006 08,361
110,2017 09,309
123,2014 07,139
49,2012 06,312
20,2012 02,145
66,2010 09,127
68,2009 02,186
78,2007 02,132
78,2016 01,194
77,2020 06,75
78,2010 02,117
111,2009 11,141
104,2009 01,359
17,2008 04,110
60,2006 12,381
101,2019 11,135
88,2018 06,141
22,2008 08,68
25,2019 07,414
67,2019 09,333
62,2020 01,126
94,2007 06,157
105,2018 12,232
78,2018 06,145
23,2006 08,558
114,2006 04,587
49,2017 12,243
40,2017 10,698
68,2017 07,283
33,2017 03,318
49,2016 12,318
5,2016 07,488
94,2016 02,123
70,2015 11,295
73,2015 04,821
88,2015 03,217
110,2015 01,322
112,2014 12,165
23,2014 10,505
100,2014 08,259
1,2013 12,347
68,2013 12,181
30,2013 08,479
23,2013 07,482
84,2013 07,328
13,2013 05,623
48,2012 07,553
13,2012 04,491
52,2012 03,940
120,2010 06,780
23,2010 04,525
79,2010 01,786
32,2009 12,563
25,2009 09,658
9,2009 08,351
75,2009 07,1310
5,2009 05,490
101,2008 11,295
32,2008 10,728
34,2008 05,477
32,2008 02,700
102,2007 12,270
110,2007 11,455
45,2007 09,240
109,2007 07,391
14,2007 06,1184
63,2017 08,160
106,2017 06,241
43,2015 02,592
34,2012 01,585
115,2010 12,415
104,2010 08,407
63,2009 05,196
49,2008 02,272
41,2007 01,741
73,2020 05,315
62,2019 06,133
84,2018 10,344
67,2018 06,381
30,2018 03,188
23,2016 01,450
46,2015 10,544
105,2012 03,482
120,2011 07,635
123,2007 06,90
104,2010 09,408
24,2020 09,104
100,2016 03,163
123,2017 01,150
94,2006 04,119
50,2013 03,196
111,2009 07,168
20,2020 04,43
22,2021 07,8
123,2021 02,70
10,2018 01,210
52,2020 11,234
70,2019 09,232
44,2021 12,358
107,2018 02,206
73,2006 07,762
83,2006 02,554
102,2018 05,297
20,2017 10,155
26,2017 03,207
84,2016 09,316
108,2015 04,244
108,2014 08,226
5,2014 06,647
101,2014 04,357
42,2013 06,509
17,2013 04,173
1,2012 10,454
109,2012 05,555
105,2011 12,353
52,2011 12,781
69,2011 09,280
10,2011 04,274
63,2011 03,215
103,2010 08,757
69,2010 07,223
42,2009 12,532
109,2009 10,382
102,2009 06,426
48,2009 05,645
13,2009 05,443
78,2009 04,162
9,2009 02,363
48,2009 01,678
100,2009 01,162
88,2008 10,246
104,2008 09,284
30,2008 05,382
43,2008 05,1006
41,2008 03,741
75,2006 12,927
108,2019 11,120
115,2017 02,408
114,2016 06,498
121,2016 06,327
114,2007 02,486
122,2020 08,85
41,2019 07,257
101,2019 12,167
26,2021 11,87
72,2013 07,312
76,2007 08,183
100,2019 06,118
66,2018 05,126
69,2012 11,179
100,2008 09,153
94,2008 06,124
68,2018 12,171
19,2010 12,239
68,2010 11,199
41,2020 05,195
123,2019 04,74
66,2020 09,101
62,2020 07,56
115,2020 11,181
33,2020 12,146
6,2020 08,119
110,2019 02,242
105,2019 08,239
78,2019 06,129
121,2019 12,187
25,2021 08,266
43,2021 07,328
77,2018 09,251
60,2018 08,384
122,2018 08,175
28,2018 12,152
48,2006 07,399
10,2018 03,176
18,2017 10,440
20,2017 05,179
49,2016 08,311
75,2016 06,900
120,2015 08,396
46,2014 11,526
67,2014 10,705
76,2014 02,146
40,2012 11,793
120,2012 08,689
43,2012 07,773
110,2012 07,537
77,2012 01,642
75,2011 11,1257
67,2011 09,574
62,2011 03,217
120,2010 12,559
110,2010 09,491
