65554,Brooklyn,11212,173,174	
69099,Bronx,10453,118,118	
69567,Bronx,10473,154,154	
67442,Manhattan,10031,19,19	
67442,Manhattan,10031,25,25	
67442,Manhattan,10031,25,25	
68803,Manhattan,10024,189,189	
68808,Manhattan,10018,11,11	
71700,Brooklyn,11210,6,36	
71223,Brooklyn,11206,120,120	
72188,Brooklyn,11215,6,19	
72189,Brooklyn,11221,6,18	
70138,Brooklyn,11211,24,123	
72191,Brooklyn,11233,9,10	
67201,Queens,11420,1,1	
67201,Queens,11420,1,1	
67201,Queens,11420,1,1	
67201,Queens,11429,1,1	
67201,Queens,11436,1,1	
67201,Queens,11412,1,1	
67201,Queens,11436,1,1	
67201,Queens,11429,2,2	
67201,Queens,11423,2,2	
67201,Queens,11411,2,2	
67201,Queens,11423,1,1	
67201,Queens,11429,1,1	
67201,Queens,11412,1,1	
72192,Manhattan,10030,6,17	
72193,Brooklyn,11221,3,8	
70812,Bronx,10467,30,70	
72194,Brooklyn,11208,6,10	
72195,Bronx,10467,3,10	
72196,Brooklyn,11206,2,8	
69619,Brooklyn,11221,8,57	
72197,Brooklyn,11216,14,46	
68747,Manhattan,10035,32,160	
72198,Brooklyn,11223,19,61	
72112,Brooklyn,11216,2,2	
72199,Brooklyn,11206,25,81	
72200,Queens,11372,14,44	
72201,Manhattan,10031,6,20	
72202,Bronx,10467,26,30	
70454,Brooklyn,11238,17,69	
70732,Bronx,10452,27,110	
72203,Bronx,10452,31,101	
72204,Brooklyn,11218,4,6	
68962,Queens,11368,30,30	
72111,Staten Island,10301,3,3	
72301,Brooklyn,11226,2,6	
72299,Brooklyn,11226,29,95	
72205,Brooklyn,11216,5,15	
65390,Manhattan,10026,161,161	
67895,Manhattan,10019,396,396	
69246,Bronx,10457,30,30	
69246,Bronx,10457,21,21	
69246,Bronx,10457,22,22	
69246,Bronx,10457,20,20	
69246,Bronx,10457,16,16	
69246,Bronx,10457,30,30	
69246,Bronx,10457,8,8	
69246,Bronx,10460,19,19	
69246,Bronx,10460,44,44	
69246,Bronx,10460,9,9	
71432,Queens,11691,2,2	
71643,Queens,11420,1,1	
69218,Brooklyn,11213,12,12	
69218,Brooklyn,11233,16,16	
69218,Brooklyn,11225,20,20	
70392,Queens,11432,44,223	
71900,Bronx,10473,213,213	
71900,Bronx,10473,144,144	
71891,Bronx,10460,8,25	
71892,Bronx,10459,18,59	
71893,Brooklyn,11207,3,8	
71894,Bronx,10460,4,11	
70731,Brooklyn,11217,45,441	
71021,Bronx,10459,97,97	
62229,Bronx,10460,279,279	
63764,Brooklyn,11224,376,376	
64689,Manhattan,10030,21,21	
64689,Manhattan,10039,31,31	
68108,Brooklyn,11208,156,156	
69178,Brooklyn,11213,55,55	
69542,Brooklyn,11207,184,184	
71866,Brooklyn,11221,12,39	
71867,Bronx,10460,8,25	
71868,Queens,11101,2,6	
71869,Queens,11377,5,14	
72138,Bronx,10453,2,2	
72206,Manhattan,10018,177,590	
72207,Bronx,10457,14,44	
72208,Brooklyn,11226,5,15	
72209,Bronx,10457,5,14	
71874,Brooklyn,11203,5,16	
72210,Bronx,10457,43,44	
72211,Brooklyn,11226,8,9	
72212,Brooklyn,11226,7,22	
72213,Queens,11368,3,10	
71865,Bronx,10462,3,8	
71890,Brooklyn,11226,3,8	
65303,Queens,11691,194,194	
66601,Manhattan,10025,68,171	
70044,Brooklyn,11222,16,80	
71264,Staten Island,10301,79,79	
71264,Staten Island,10301,78,78	
71264,Staten Island,10301,80,80	
71264,Staten Island,10301,79,79	
71276,Staten Island,10304,269,270	
71887,Brooklyn,11225,3,9	
71888,Bronx,10460,12,37	
71889,Brooklyn,11236,2,6	
72214,Brooklyn,11237,4,13	
72215,Brooklyn,11212,3,10	
71885,Brooklyn,11226,6,17	
72216,Bronx,10453,13,43	
72217,Brooklyn,11213,3,10	
71863,Bronx,10458,6,20	
71864,Bronx,10468,18,54	
72218,Brooklyn,11225,3,9	
71861,Brooklyn,11233,3,9	
71862,Bronx,10457,3,8	
72219,Brooklyn,11213,10,10	
72220,Bronx,10458,3,7	
72220,Bronx,10458,3,7	
69501,Bronx,10459,68,68	
70744,Bronx,10460,18,88	
66928,Brooklyn,11207,71,71	
70126,Brooklyn,11206,11,50	
71860,Bronx,10468,3,9	
71860,Bronx,10468,3,9	
72222,Queens,11101,15,49	
72223,Bronx,10459,10,11	
71859,Brooklyn,11226,8,25	
71199,Manhattan,10029,60,60	
72224,Bronx,10451,138,458	
72225,Bronx,10463,17,55	
72226,Brooklyn,11215,8,24	
72227,Queens,11377,5,14	
72228,Queens,11101,3,10	
71899,Brooklyn,11208,452,452	
69545,Brooklyn,11219,35,35	
69545,Brooklyn,11219,20,20	
69545,Brooklyn,11219,42,42	
69545,Brooklyn,11219,39,40	
69545,Brooklyn,11219,24,27	
69545,Brooklyn,11220,62,65	
71857,Brooklyn,11238,6,18	
71858,Brooklyn,11203,3,8	
71912,Queens,11411,1,1	
72229,Bronx,10452,7,21	
72230,Brooklyn,11221,5,14	
71855,Brooklyn,11221,15,50	
71856,Brooklyn,11216,2,6	
72231,Brooklyn,11226,5,16	
72300,Brooklyn,11201,4,12	
71873,Brooklyn,11205,4,12	
72232,Brooklyn,11229,9,29	
72233,Bronx,10452,8,25	
68891,Manhattan,10012,152,152	
70577,Brooklyn,11224,93,139	
70577,Brooklyn,11224,0,324	
71206,Manhattan,10037,15,15	
71206,Manhattan,10037,39,39	
71207,Brooklyn,11207,84,84	
71207,Brooklyn,11207,84,84	
71208,Bronx,10453,39,39	
